Non-Signer Iconicity,Non-Signer Iconicity SD
3.875,1.777
1.92,1.525
3.304,1.636
4.931,1.51
2.667,1.9
3.583,1.64
3.933,1.78
3.233,1.633
3.083,1.412
4.24,1.562
3.36,1.604
2.833,1.612
4.2,1.808
2.0,1.451
1.533,0.9
1.176,0.521
1.833,1.117
2.7,1.878
3.906,1.924
2.05,1.504
1.542,1.021
4.75,1.743
3.154,1.848
4.417,1.886
2.6,2.062
2.963,1.85
4.458,1.769
4.435,1.727
1.531,1.244
3.76,2.278
4.667,1.653
1.839,1.098
1.773,1.307
1.037,0.192
1.4,0.866
2.65,1.927
3.308,1.828
6.0,1.451
3.9,1.788
5.923,1.44
1.5,1.022
1.7,0.988
4.966,1.523
1.739,1.251
1.581,0.923
5.36,1.89
3.81,1.887
4.903,1.955
3.36,1.44
4.167,1.648
3.933,1.946
4.3,1.75
3.567,1.675
6.375,1.013
4.833,1.781
2.64,1.912
6.12,1.364
4.781,1.862
3.487,1.73
3.162,1.519
6.406,1.043
1.48,1.046
3.56,1.609
1.75,1.025
3.48,1.661
4.879,1.9
3.733,1.596
4.778,1.528
2.0,1.063
1.6,0.754
4.889,1.867
4.538,1.581
1.4,1.041
6.952,0.218
1.733,1.23
6.6,0.754
6.429,0.746
1.6,1.248
4.333,1.465
2.656,1.715
3.933,1.964
4.094,1.673
1.259,0.712
1.875,1.116
2.656,1.715
1.833,1.274
2.457,1.4
4.92,1.681
2.103,1.423
3.875,1.941
2.75,1.888
1.233,0.626
2.594,1.881
6.545,0.971
3.35,1.843
2.074,1.542
1.217,0.85
4.1,1.944
1.792,1.474
2.028,1.134
1.733,1.048
3.167,1.802
4.125,2.028
1.586,1.524
3.857,1.683
2.0,1.462
1.542,1.318
4.067,1.856
3.0,1.351
5.25,1.391
3.097,1.972
2.087,1.311
2.733,1.507
4.75,1.888
1.444,1.206
4.0,1.528
2.167,1.579
1.44,0.768
2.933,1.946
4.462,1.985
3.433,2.063
6.5,0.938
2.314,1.451
1.6,0.932
5.417,1.53
3.313,1.635
1.037,0.192
2.25,1.585
3.774,1.839
6.1,0.968
1.29,0.588
1.667,1.295
4.56,1.446
1.406,0.911
3.857,1.7
2.0,1.474
2.806,1.797
2.533,1.592
6.8,0.696
1.313,0.965
3.48,1.61
3.7,1.174
5.133,1.548
1.708,1.268
4.69,1.514
1.9,1.447
2.2,1.375
1.433,0.935
3.783,1.506
2.333,1.788
2.696,1.717
2.467,1.408
3.81,1.537
2.5,1.867
1.92,1.222
6.9,0.403
6.7,1.119
6.6,1.0
2.576,1.542
1.808,1.266
4.065,1.672
4.182,1.967
5.424,1.601
4.613,1.626
1.033,0.183
2.762,1.947
2.125,1.185
2.1,1.774
5.267,1.701
2.077,1.412
2.889,1.469
1.935,1.611
5.667,1.167
4.909,1.942
4.778,1.948
1.25,0.737
1.594,1.16
4.25,1.894
3.0,1.622
4.542,2.0
1.444,1.086
2.903,1.795
1.583,0.929
4.813,1.712
4.526,1.885
5.742,1.673
3.111,1.553
3.84,1.248
4.267,1.552
5.417,1.767
1.92,1.222
3.348,1.555
6.095,1.091
5.75,1.691
4.655,1.798
1.548,1.261
1.76,1.2
2.75,1.595
2.9,2.023
3.633,2.076
1.576,1.032
2.6,1.397
4.64,1.319
1.452,1.06
4.926,1.662
6.667,1.049
2.391,1.234
2.7,1.664
4.8,1.27
6.56,0.768
1.889,1.326
2.64,1.524
1.304,0.635
6.594,0.615
3.0,1.668
5.565,1.83
5.033,1.497
2.739,1.888
1.296,0.724
2.481,1.602
4.95,1.395
1.583,1.1
5.452,1.41
1.625,1.056
2.875,1.624
4.5,1.668
5.63,1.523
5.583,1.317
3.1,1.647
1.375,0.711
1.939,1.345
6.524,0.928
3.25,1.775
5.667,1.341
2.72,1.72
2.65,1.631
4.429,1.883
1.87,1.359
5.08,1.152
4.038,1.843
2.792,1.615
1.806,1.25
3.467,1.925
1.6,1.133
6.677,0.832
5.087,1.756
2.875,1.628
2.125,1.65
6.645,0.661
3.667,1.688
2.875,1.755
2.1,1.605
1.217,0.671
5.458,1.793
4.25,1.847
6.483,1.243
6.371,1.516
2.13,1.1
3.048,2.061
4.486,1.634
3.267,2.033
5.115,1.705
3.65,1.461
2.9,1.518
4.13,1.714
1.448,0.985
2.839,1.267
5.923,1.412
2.0,0.966
1.458,1.021
1.444,0.969
2.167,1.274
2.958,1.517
2.839,1.734
1.7,1.022
3.0,1.948
2.16,1.546
2.05,1.905
2.067,1.721
3.92,2.08
6.419,0.923
1.762,0.995
1.519,0.935
5.75,1.538
2.083,1.381
1.767,1.194
1.222,0.506
3.0,1.279
1.577,0.987
3.963,1.99
1.2,0.551
4.056,1.756
3.938,1.731
5.581,1.544
2.5,1.592
2.71,1.553
1.682,1.287
6.063,1.289
1.774,1.175
6.7,0.651
2.185,1.495
4.458,2.206
2.531,1.27
2.037,1.454
2.848,1.679
3.686,1.811
6.458,1.021
5.25,1.483
6.2,1.118
2.333,1.551
3.773,2.114
3.567,1.942
6.65,0.587
5.417,1.613
5.63,1.418
2.636,1.432
1.63,1.043
5.458,1.793
6.56,0.961
1.688,1.33
6.12,1.236
4.844,1.483
5.08,1.656
6.208,1.141
3.433,1.96
6.389,0.728
5.333,1.362
2.36,1.551
1.8,1.528
2.867,1.697
3.913,1.474
1.5,1.164
2.72,1.671
3.483,2.115
5.435,1.674
4.8,1.73
2.571,1.399
4.875,1.513
2.645,1.704
2.458,1.503
1.3,0.794
1.143,0.478
1.903,1.076
4.5,1.366
4.433,1.888
2.0,1.128
4.414,1.547
1.108,0.315
6.708,0.624
4.063,1.917
2.083,0.974
1.114,0.323
1.833,1.373
5.32,1.345
3.174,1.435
2.741,1.607
1.788,1.244
3.933,1.574
2.538,1.652
1.769,1.07
2.067,1.617
3.094,1.729
1.333,0.832
5.75,1.503
2.114,1.183
2.355,1.473
6.25,1.225
2.353,1.631
2.6,1.569
1.767,1.305
1.267,0.785
4.061,1.936
3.875,1.484
6.567,0.971
5.381,1.359
5.867,1.502
2.31,1.713
6.5,0.82
3.667,1.788
2.933,1.66
5.467,1.613
3.967,1.732
3.04,1.62
6.2,1.472
2.75,2.221
4.615,1.941
2.286,1.708
5.45,1.538
2.16,1.519
1.87,1.217
1.87,1.1
1.913,1.311
6.25,1.273
3.792,1.956
1.613,1.022
2.194,1.621
1.75,1.189
3.0,1.708
6.645,1.142
6.806,0.624
3.04,1.428
2.067,1.484
5.5,1.933
4.438,1.632
2.84,1.375
4.4,1.569
4.913,1.621
2.1,1.322
1.147,0.436
1.583,0.776
3.52,1.636
5.484,1.546
3.333,1.605
4.76,2.006
2.25,1.567
6.542,0.932
2.394,1.6
4.875,2.071
2.781,1.68
2.367,1.974
3.4,1.545
6.565,0.788
2.35,1.694
3.2,1.431
3.304,1.295
1.3,0.657
6.0,1.383
3.933,1.461
1.083,0.282
1.333,0.917
4.542,1.615
5.829,1.043
3.579,1.571
2.375,1.628
3.3,1.705
3.917,1.558
1.677,0.945
3.32,1.749
5.267,1.507
4.533,1.634
4.391,1.699
1.467,1.196
5.2,1.349
1.029,0.171
1.417,0.929
1.606,1.298
3.75,2.231
2.229,1.416
2.517,1.825
3.438,1.896
2.16,1.491
1.8,1.27
1.25,0.847
6.571,0.676
2.714,1.617
5.0,1.769
3.538,1.702
3.696,1.46
3.25,1.7
2.542,1.503
3.121,1.431
2.25,1.86
6.143,1.526
6.367,1.129
3.375,1.996
5.188,1.642
2.0,1.331
1.75,1.113
2.545,1.787
3.174,1.825
6.571,0.811
3.067,1.596
1.7,1.264
1.346,0.689
2.189,1.543
5.917,1.316
3.68,1.994
2.652,1.229
3.576,1.714
2.133,1.279
4.04,1.513
6.576,1.001
1.815,1.241
2.917,1.742
5.96,1.594
6.19,1.25
3.194,1.662
2.344,1.599
2.435,1.59
4.826,1.85
3.64,1.604
4.5,1.699
4.542,1.693
4.708,1.781
1.567,1.104
3.958,1.628
5.4,1.694
5.968,1.354
1.04,0.2
5.73,1.17
1.95,1.356
4.633,1.608
6.96,0.2
6.381,1.359
1.657,1.056
1.261,0.619
2.226,1.407
2.88,1.453
1.1,0.305
5.417,1.64
1.543,1.12
2.6,1.936
5.381,1.884
3.222,1.742
1.529,0.896
1.889,1.219
1.333,0.711
1.7,1.49
2.476,2.064
1.375,0.711
3.0,1.68
4.2,1.848
6.25,1.189
2.913,2.193
5.875,1.544
6.606,0.704
5.208,1.641
1.5,1.18
2.64,1.655
4.917,1.442
1.643,1.206
2.0,1.317
2.25,1.567
1.143,0.359
1.667,1.167
3.595,1.674
1.833,1.683
5.35,1.631
2.125,1.329
4.25,1.675
3.4,1.979
1.583,0.881
3.75,1.86
3.8,1.846
3.871,1.688
1.267,0.828
4.192,1.98
4.56,1.53
2.296,1.636
4.333,1.995
2.75,1.857
5.667,1.309
3.966,1.861
4.469,1.778
1.767,1.104
3.44,1.66
2.875,1.65
1.174,0.491
1.542,1.25
1.833,1.129
3.065,1.769
3.4,1.569
5.115,1.728
1.568,1.015
2.737,1.554
2.091,1.942
2.133,1.456
3.2,1.562
1.629,1.19
3.3,1.622
2.16,1.344
4.0,1.607
3.292,1.829
2.958,1.967
1.433,1.278
5.742,1.483
6.292,1.334
3.0,1.597
2.467,1.676
2.917,1.666
5.24,1.964
2.3,1.466
3.419,1.893
1.433,0.935
1.583,0.929
1.25,0.608
4.75,1.983
5.231,1.704
3.226,1.647
4.3,1.525
1.867,1.196
2.609,1.852
3.042,1.268
1.346,0.977
6.333,1.093
1.378,0.681
4.083,1.873
1.778,1.198
1.844,1.37
3.24,1.855
1.355,0.709
4.522,1.344
5.067,1.78
6.742,0.965
1.95,1.638
1.435,1.199
2.56,1.083
2.571,1.399
3.619,1.564
1.88,1.236
2.667,1.435
4.476,1.537
1.472,0.845
3.259,1.893
2.833,1.648
5.065,1.569
4.92,1.847
5.667,1.664
4.5,1.732
3.387,1.667
4.421,2.101
4.633,1.474
4.094,1.692
3.595,1.848
2.355,1.473
3.533,1.697
1.6,1.08
1.226,0.617
1.889,1.396
2.042,1.197
6.56,0.917
1.688,1.378
5.719,1.464
4.618,1.875
1.185,0.557
5.484,1.262
4.04,1.968
3.96,1.541
1.417,1.018
3.033,2.157
4.458,1.719
6.8,0.5
1.36,0.86
4.583,1.501
5.067,1.552
2.792,1.56
2.833,1.404
1.342,0.781
4.472,1.558
4.533,1.697
4.061,1.853
1.767,1.04
2.778,1.692
1.625,1.245
1.667,1.061
1.6,1.133
5.875,1.314
3.5,1.701
5.458,1.668
4.3,1.643
6.05,1.395
3.75,1.778
3.806,1.74
1.387,0.761
3.842,1.537
6.833,0.637
4.875,1.777
1.84,1.344
3.375,1.439
3.694,1.969
4.0,1.732
3.028,1.594
1.81,1.123
1.75,0.95
4.64,1.381
1.444,0.801
1.68,1.215
5.135,1.735
2.0,1.717
3.167,1.621
2.304,1.49
2.5,1.333
1.458,0.833
4.233,1.845
3.8,1.846
4.52,1.782
2.897,1.903
6.833,0.637
1.969,1.448
5.667,1.708
3.16,1.599
2.889,1.785
2.167,1.487
4.52,2.143
2.72,1.768
3.0,1.719
3.48,1.61
4.517,1.825
3.72,1.568
5.567,0.971
1.867,1.106
2.2,1.528
1.174,0.65
6.069,1.486
3.75,1.871
2.0,1.164
1.586,1.402
5.952,1.532
3.417,1.316
2.6,1.443
4.152,1.603
2.72,1.514
6.6,1.041
2.043,1.364
2.667,1.42
6.875,0.338
1.097,0.301
6.571,0.811
4.56,1.895
5.2,1.846
4.08,1.73
1.8,1.576
3.051,1.669
2.68,1.6
1.028,0.167
3.6,1.667
1.857,1.153
1.65,1.182
2.935,1.652
3.367,1.866
2.19,1.721
1.423,0.902
2.533,1.525
3.0,1.826
5.8,1.375
6.481,0.849
1.618,0.985
1.609,0.988
2.875,1.191
5.704,1.463
4.7,1.765
1.259,0.656
3.625,1.952
1.619,1.284
3.759,1.596
2.243,1.442
5.1,2.006
2.25,1.26
6.6,1.248
2.04,1.306
2.3,1.291
2.781,1.601
2.2,1.5
4.789,2.175
1.63,0.884
1.652,0.982
5.156,1.706
5.125,1.676
1.1,0.305
4.87,1.66
3.24,1.615
2.577,2.082
1.813,1.491
1.333,0.844
1.606,1.248
5.24,1.739
1.6,0.814
2.438,1.501
4.433,1.995
6.833,0.637
1.792,1.382
5.739,1.137
2.458,1.285
5.545,1.348
3.783,1.783
5.05,1.638
2.654,1.495
4.267,1.929
5.808,1.625
1.774,0.845
5.5,1.285
1.676,0.944
4.097,1.795
3.708,1.488
1.6,1.384
1.5,0.9
2.065,1.413
1.065,0.359
6.684,0.775
5.28,1.514
5.152,1.642
5.833,1.373
6.963,0.192
1.818,1.31
3.609,1.828
5.323,1.301
2.567,1.455
5.03,1.741
3.37,1.757
2.067,1.363
3.903,1.868
1.375,1.245
6.28,1.1
3.8,1.735
1.762,0.944
3.9,2.006
1.914,1.38
3.45,1.959
1.387,0.761
3.333,1.761
6.0,1.5
1.478,1.31
4.258,1.413
4.69,1.606
1.067,0.254
2.56,1.938
5.292,1.459
4.967,2.008
1.2,0.707
1.258,0.773
1.867,1.167
2.25,1.26
4.917,1.442
3.16,1.675
3.433,1.794
5.37,1.471
3.95,1.669
1.92,1.382
4.154,1.424
2.667,1.788
2.28,1.429
4.733,1.53
2.13,0.92
5.714,1.488
3.393,1.423
1.417,0.717
2.758,1.838
3.88,1.59
2.233,1.924
3.9,1.619
2.0,1.219
5.5,1.456
1.833,1.416
3.65,1.843
2.313,1.554
1.478,0.898
2.08,1.32
5.217,1.678
5.2,1.607
4.063,1.843
1.542,1.021
2.3,1.393
5.091,1.608
1.788,1.341
2.833,1.659
3.08,1.605
5.792,1.414
1.292,0.55
4.63,2.239
6.583,0.649
2.6,1.957
1.718,0.887
4.667,2.187
2.107,1.449
1.733,0.828
6.667,0.736
3.12,1.616
5.32,1.547
3.485,1.716
2.5,1.614
1.87,1.66
4.1,1.832
4.161,1.594
6.0,1.232
1.593,1.309
2.8,1.958
1.76,1.508
3.615,1.577
2.8,1.518
2.542,1.215
5.6,1.354
1.68,1.282
5.333,1.51
4.077,1.978
1.919,1.187
2.565,1.376
4.889,1.769
4.12,1.481
1.355,0.661
4.296,1.772
3.625,1.974
1.667,1.124
2.0,1.259
3.54,1.575
1.25,0.897
1.667,1.028
4.24,1.921
2.933,1.639
3.211,1.813
2.844,1.322
3.567,1.695
1.917,1.176
3.452,1.588
6.696,0.876
1.583,1.176
5.048,1.161
6.4,1.118
5.097,1.739
1.781,1.313
1.52,1.085
5.133,1.852
2.875,1.31
5.563,1.413
4.0,1.98
2.5,1.925
3.25,1.517
2.4,1.673
3.0,1.747
1.667,1.241
3.333,1.729
6.1,1.125
5.581,1.361
6.05,1.099
2.419,1.628
3.5,1.424
1.913,1.276
4.6,1.94
2.718,1.45
6.467,1.008
1.852,1.064
1.267,0.691
1.28,0.678
5.0,1.809
4.13,1.687
1.963,1.454
4.281,1.611
2.0,1.386
6.839,0.898
3.548,1.41
3.4,1.694
4.583,1.5
1.727,1.42
4.107,1.75
6.846,0.368
2.176,1.336
1.4,0.816
2.125,1.116
2.548,1.48
3.378,2.046
3.625,1.661
6.731,0.533
2.04,1.338
5.774,1.499
1.969,1.356
3.84,1.405
2.361,1.437
2.133,1.57
3.292,1.805
3.226,1.857
3.061,1.6
2.88,1.787
2.233,1.382
4.72,2.092
2.4,1.635
2.818,1.722
1.375,1.013
4.923,1.787
2.391,1.158
4.553,1.841
1.833,1.183
2.24,1.2
4.258,1.807
2.258,1.505
2.0,1.769
1.333,0.702
3.16,1.519
1.767,1.165
3.6,1.392
6.12,1.301
3.3,1.896
1.92,1.288
4.88,1.269
3.625,1.601
4.232,1.731
6.833,0.379
3.0,1.732
6.739,0.619
2.696,1.608
5.958,1.601
1.579,1.004
1.074,0.385
5.407,1.647
5.357,1.569
2.25,1.452
3.692,1.871
